epoch,accuracy,loss,val_accuracy,val_loss
0,0.718999981880188,0.7910088896751404,0.875,0.31140387058258057
1,0.8389999866485596,0.38739198446273804,0.8924999833106995,0.2682611048221588
2,0.8759999871253967,0.3046768009662628,0.8712499737739563,0.3173169195652008
3,0.8989999890327454,0.24555528163909912,0.8475000262260437,0.3773638606071472
4,0.9120000004768372,0.2295989990234375,0.8799999952316284,0.34274330735206604
5,0.9200000166893005,0.20302389562129974,0.893750011920929,0.2966609299182892
6,0.9419999718666077,0.1356363743543625,0.862500011920929,0.41780173778533936
7,0.9470000267028809,0.1307588666677475,0.9125000238418579,0.327789306640625
8,0.9620000123977661,0.10874458402395248,0.9012500047683716,0.35058823227882385
9,0.9639999866485596,0.09430930018424988,0.8812500238418579,0.4306687116622925
